,Name,Rating,Reviews,Jobs,Salary_reviews,Highly_rated,Poorly_rated,Details
124,Bosch Global Software Technologies,4.2,3.3k,9,30.5k,"Job Security, Work Life Balance, Company Culture",NaN,Software Product | 10k-50k Employees | 33 years old | Gerlingen +27 more
125,Virtusa Consulting Services,3.8,3.3k,110,43.5k,NaN,NaN,IT Services & Consulting | 10k-50k Employees | 27 years old | Southborough +31 more
126,Cummins,4.4,3.3k,46,14.6k,"Company Culture, Work Life Balance, Skill Development / Learning",NaN,Auto Components | 5k-10k Employees | Fortune India 500 | 61 years old | Columbus +97 more
127,SBI Cards & Payment Services,3.7,3.3k,130,15.2k,NaN,NaN,1k-5k Employees | 25 years old | Gurgaon/Gurugram +309 more
128,Oyo Rooms,3.4,3.3k,169,24.7k,Job Security,NaN,Hospitality | 1k-5k Employees | Indian Unicorn | 10 years old | Gurgaon +111 more
129,BNY Mellon,4.1,3.3k,449,26.3k,"Company Culture, Work Life Balance, Job Security",NaN,Investment Banking / Venture Capital / Private Equity | 10k-50k Employees | Forbes Global 2000 | 19 years old | New York City +14 more
130,BT Group,4.1,3.3k,30,10.5k,"Job Security, Work Life Balance, Company Culture",NaN,Telecom | 10k-50k Employees | Forbes Global 2000 | 177 years old | London +17 more
131,Equitas Small Finance Bank,4.3,3.3k,24,11k,"Job Security, Company Culture, Work Life Balance",NaN,Banking | 10k-50k Employees | Fortune India 500 | 16 years old | Chennai +343 more
132,SMFG India Credit,4.1,3.2k,70,10.3k,"Salary & Benefits, Job Security, Skill Development / Learning",NaN,NBFC | 10k-50k Employees | 16 years old | Mumbai +470 more
133,Amdocs,4.0,3.2k,5,30.5k,"Company Culture, Job Security",NaN,Software Product | 10k-50k Employees | Forbes Global 2000 | 41 years old | Chesterfield +14 more
134,Schneider Electric,4.1,3.2k,135,19.4k,"Company Culture, Job Security, Skill Development / Learning",NaN,Industrial Automation | 10k-50k Employees | Forbes Global 2000 | 24 years old | Paris +103 more
135,CBRE,4.2,3.2k,136,15.2k,"Skill Development / Learning, Company Culture, Job Security",NaN,Real Estate | 10k-50k Employees | Forbes Global 2000 | 117 years old | Los Angeles +66 more
136,Cholamandalam Investment & Finance,4.1,3.2k,17,9.4k,"Salary & Benefits, Job Security, Skill Development / Learning",NaN,NBFC | 5k-10k Employees | Fortune India 500 | 45 years old | Chennai +590 more
137,Future Group,4.3,3.2k,16,12.4k,"Skill Development / Learning, Company Culture, Work Life Balance",NaN,Retail | 10k-50k Employees | Conglomerate | 10 years old | Mumbai +199 more
138,L&T Technology Services,3.4,3.1k,1,28.4k,"Promotions / Appraisal, Salary & Benefits",NaN,IT Services & Consulting | 10k-50k Employees | Public | 11 years old | Vadodara/Baroda +40 more
139,State Bank of India,3.7,3.1k,186,10.2k,Job Security,NaN,Banking | 1 Lakh+ Employees | Fortune India 500 | 217 years old | Mumbai +455 more
140,Swiggy,3.9,3.1k,384,18.3k,NaN,NaN,Internet | 5k-10k Employees | Indian Unicorn | 9 years old | Bangalore +174 more
141,JBM Group,4.0,3.1k,1,13k,"Job Security, Skill Development / Learning",NaN,Auto Components | 1k-5k Employees | Public | 40 years old | Gurgaon/Gurugram +83 more
142,Dell,4.1,3.1k,85,24.1k,"Company Culture, Work Life Balance, Skill Development / Learning",NaN,Consumer Electronics & Appliances | 10k-50k Employees | Forbes Global 2000 | 39 years old | Round Rock +88 more
143,Ekart Logistics,4.0,3.1k,--,7.8k,"Skill Development / Learning, Salary & Benefits, Company Culture",NaN,Logistics | 5k-10k Employees | 14 years old | San Francisco +525 more
144,Ecom Express,4.0,3.1k,60,8.7k,"Skill Development / Learning, Work Life Balance, Company Culture",NaN,Logistics | 10k-50k Employees | 11 years old | Gurgaon +585 more
145,SBI Life Insurance Company,3.8,3k,16,10.1k,Job Security,NaN,Insurance | 10k-50k Employees | 22 years old | Mumbai +498 more
146,Bajaj Auto,3.9,3k,--,12.9k,NaN,NaN,Automobile | 5k-10k Employees | Public | 78 years old | Pune +229 more
147,Optum,4.0,3k,25,21.7k,"Job Security, Work Life Balance, Company Culture",NaN,Healthcare | 10k-50k Employees | 46 years old | Prairie +26 more
148,Nagarjuna Construction Company,4.1,3k,12,10.5k,"Job Security, Skill Development / Learning, Company Culture",NaN,Engineering & Construction | 5k-10k Employees | Public | 25 years old | Hyderabad/Secunderabad +210 more
