,Name,Rating,Reviews,Jobs,Salary_reviews,Highly_rated,Poorly_rated,Details
4430,Bajaj Healthcare,3.3,156,2,1.1k,Company Culture,NaN,Pharma | 51-200 Employees | Public | 30 years old | Thane +9 more
4431,Exeltis,4.1,156,1,500,"Work Life Balance, Company Culture, Skill Development / Learning",NaN,Pharma | 1k-5k Employees | 20 years old | Madrid +28 more
4432,TA Digital,4.0,156,11,1.5k,"Work Life Balance, Job Security, Skill Development / Learning",NaN,IT Services & Consulting | 501-1k Employees | 23 years old | Newark +3 more
4433,Om Innovation Call Services,3.5,156,--,872,"Promotions / Appraisal, Salary & Benefits",NaN,BPO | 51-200 Employees | 18 years old | Delhi/NCR +9 more
4434,Hawkins Cookers,3.8,156,--,635,"Salary & Benefits, Job Security",NaN,501-1k Employees | Public | 64 years old | Mumbai +24 more
4435,Qualys,3.7,156,16,1.2k,Salary & Benefits,NaN,IT Services & Consulting | 1k-5k Employees | 24 years old | Foster City +2 more
4436,Reliance Petroleum,3.8,156,--,632,NaN,NaN,Oil & Gas | 201-500 Employees | Public | 15 years old | Ahemdabad +30 more
4437,HEG,3.7,156,--,730,NaN,NaN,Semiconductors | 501-1k Employees | Public | 51 years old | Noida +6 more
4438,Bose,4.4,156,--,803,"Skill Development / Learning, Work Life Balance, Company Culture",NaN,Consumer Electronics & Appliances | 501-1k Employees | 59 years old | Framingham +27 more
4439,Shriram Properties,3.7,156,1,1.3k,NaN,NaN,Real Estate | 501-1k Employees | 28 years old | Bangalore/Bengaluru +8 more
4440,Structures Online,4.7,156,--,286,"Job Security, Skill Development / Learning, Work Satisfaction",NaN,Engineering & Construction | 501-1k Employees | 23 years old | Noida +1 more
4441,Searce Cosourcing Services,3.3,156,34,1.3k,"Salary & Benefits, Promotions / Appraisal",NaN,IT Services & Consulting | 1k-5k Employees | 19 years old | Cupertino +7 more
4442,HostBooks,3.7,156,29,566,NaN,NaN,FinTech | 201-500 Employees | Public | 14 years old | Gurgaon/Gurugram +7 more
4443,Enphase Energy,3.4,156,3,1.5k,Salary & Benefits,NaN,Power | 501-1k Employees | Public | 17 years old | Fremont +5 more
4444,Max Data Entry Services,4.2,156,--,14,"Work Satisfaction, Promotions / Appraisal, Job Security",NaN,BPO | 11-50 Employees | Kolkata +20 more
4445,Electropneumatics & Hydraulics (I),3.8,156,8,903,Job Security,NaN,Industrial Machinery | 501-1k Employees | 51 years old | Pune +3 more
4446,Tirupati Medicare,4.0,156,--,712,"Job Security, Company Culture, Salary & Benefits",NaN,Pharma | 1k-5k Employees | 18 years old | Paonta Sahib +12 more
4447,Auro Realty Private Limited,4.3,156,4,959,"Job Security, Work Life Balance, Company Culture",NaN,Real Estate | 501-1k Employees | 7 years old | Hyderabad/Secunderabad +12 more
4448,MSC Technology India,4.6,156,17,939,"Job Security, Work Life Balance, Salary & Benefits",NaN,IT Services & Consulting | 1k-5k Employees | 16 years old | Chennai +6 more
4449,Rehau Polymers,3.6,156,74,1k,NaN,NaN,Engineering & Construction | 501-1k Employees | 26 years old | Singapore +17 more
4450,Software AG,4.2,155,15,1.6k,"Work Life Balance, Company Culture, Skill Development / Learning",NaN,Software Product | 1k-5k Employees | 54 years old | Darmstadt +11 more
4451,InnovationM,3.8,155,94,634,"Skill Development / Learning, Work Life Balance",NaN,IT Services & Consulting | 201-500 Employees | 13 years old | Noida +5 more
4452,Exusia,4.2,155,--,737,"Salary & Benefits, Work Life Balance, Job Security",NaN,IT Services & Consulting | 201-500 Employees | 11 years old | Miami +8 more
4453,Asian Heart Institute and Research Centre,3.1,155,--,469,"Job Security, Work Life Balance, Promotions / Appraisal",NaN,Healthcare | 201-500 Employees | 21 years old | Mumbai +4 more
4454,Xeam Ventures,4.0,155,13,744,"Work Life Balance, Work Satisfaction",NaN,Recruitment | 51-200 Employees | 19 years old | Mohali +40 more
4455,Berar Finance,4.1,155,2,579,"Work Life Balance, Company Culture, Job Security",NaN,Financial Services | 51-200 Employees | Public | 33 years old | Nagpur +54 more
4456,Chiripal Industries,3.6,155,2,985,NaN,NaN,Fashion & Textile | 1k-5k Employees | Public | 51 years old | Ahmedabad +5 more
4457,Decon Telecom Solutions,3.0,155,--,338,"Promotions / Appraisal, Job Security, Work Life Balance",NaN,Telecom | 201-500 Employees (Global) | 30 years old | Gurgaon +23 more
4458,Narula Infrastructure,3.7,155,--,472,NaN,NaN,Engineering & Construction | 51-200 Employees | 18 years old | Kolkata +38 more
4459,Indifi Technologies,3.7,155,51,1.2k,NaN,NaN,Financial Services | 501-1k Employees | Startup | 8 years old | Gurgaon +6 more
4460,Snowman Logistics,4.2,155,--,809,"Job Security, Company Culture, Work Life Balance",NaN,Logistics | 201-500 Employees | Public | 27 years old | Bangalore/Bengaluru +24 more
4461,Chain-Sys,3.8,155,1,1.7k,Job Security,NaN,IT Services & Consulting | 501-1k Employees | 25 years old | Grand Ledge +6 more
4462,Waste Management,4.0,155,1,967,"Job Security, Work Life Balance, Company Culture",NaN,Waste Management | 51-200 Employees | Forbes Global 2000 | 55 years old | Houston +13 more
4463,South Eastern Coalfields,4.3,155,--,281,"Job Security, Work Life Balance, Work Satisfaction",NaN,Metals & Mining | 5k-10k Employees (Global) | Central | 38 years old | Bilaspur +20 more
4464,Alcatel-Lucent,4.2,155,--,627,"Work Life Balance, Job Security, Company Culture",NaN,Telecom | 201-500 Employees | Public | 31 years old | Boulogne Billancourt Cedex +23 more
4465,MindCraft Software,3.8,155,15,1.4k,NaN,NaN,IT Services & Consulting | 501-1k Employees | 21 years old | Mumbai +5 more
4466,Four Seasons Hotel,4.2,155,23,673,"Company Culture, Skill Development / Learning, Job Security",NaN,Hospitality | 501-1k Employees | Public | 26 years old | Toronto +18 more
4467,Inland World Logistics,3.4,155,5,800,NaN,NaN,Logistics | 1k-5k Employees | 41 years old | Mumbai +37 more
4468,Stefanini,3.5,155,31,1.3k,NaN,NaN,IT Services & Consulting | 501-1k Employees | 21 years old | JaguariÃºna +9 more
4469,Srei Sahaj e-Village,4.0,155,4,391,Skill Development / Learning,NaN,Retail | 201-500 Employees (Global) | 15 years old | Kolkata +32 more
4470,COWI,4.2,155,--,616,"Work Life Balance, Company Culture, Job Security",NaN,Engineering & Construction | 201-500 Employees | 93 years old | Lyngby +4 more
4471,Jay Ushin,3.9,155,--,975,Work Life Balance,NaN,Auto Components | 1k-5k Employees | Public | 64 years old | Gurgaon/Gurugram +10 more
4472,Faber India,4.3,155,--,869,"Company Culture, Work Life Balance, Job Security",NaN,Consumer Electronics & Appliances | 201-500 Employees | 68 years old | Pune +33 more
4473,Yethi Consulting,3.5,155,13,1.7k,NaN,NaN,IT Services & Consulting | 501-1k Employees | Startup | 10 years old | Bangalore/Bengaluru +9 more
4474,Sunteck Realty,3.4,155,18,1.1k,NaN,NaN,Real Estate | 51-200 Employees | Public | 42 years old | Mumbai +7 more
4475,Simpson,3.9,155,--,1k,"Job Security, Work Life Balance, Skill Development / Learning",NaN,Auto Components | 201-500 Employees | 183 years old | Chennai +5 more
4476,Edward Food Research and Analysis Centre,3.7,155,--,583,NaN,NaN,Analytics & KPO | 51-200 Employees | 102 years old | Kolkata +4 more
4477,Agilent Technologies International,4.4,155,--,777,"Job Security, Company Culture, Work Life Balance",NaN,Gurgaon/Gurugram +7 more
4478,Velnik India,3.3,155,--,858,"Job Security, Company Culture, Work Satisfaction",NaN,Beauty & Personal Care | 1k-5k Employees | 6 years old | Indore +30 more
4479,Quantzig,4.8,155,5,165,"Skill Development / Learning, Work Life Balance, Promotions / Appraisal",NaN,51-200 Employees | Bengaluru/Bangalore +1 more
4480,Edward Food Research and Analysis Centre,3.7,155,--,583,NaN,NaN,Analytics & KPO | 51-200 Employees | 102 years old | Kolkata +4 more
4481,Sunteck Realty,3.4,155,18,1.1k,NaN,NaN,Real Estate | 51-200 Employees | Public | 42 years old | Mumbai +7 more
4482,MindCraft Software,3.8,155,15,1.4k,NaN,NaN,IT Services & Consulting | 501-1k Employees | 21 years old | Mumbai +5 more
4483,BPO+,4.0,155,3,2k,"Company Culture, Skill Development / Learning, Work Satisfaction",NaN,BPO | 201-500 Employees | 18 years old | Doha +39 more
4484,JP Infra,3.5,155,11,1.1k,NaN,NaN,Real Estate | 201-500 Employees | 17 years old | Mumbai +6 more
4485,Locuz Enterprise Solutions,4.2,155,36,1.3k,"Company Culture, Work Life Balance, Job Security",NaN,IT Services & Consulting | 501-1k Employees | Public | 24 years old | Hyderabad/Secunderabad +12 more
4486,Parsons International,4.3,154,--,320,"Salary & Benefits, Work Life Balance, Skill Development / Learning",NaN,IT Services & Consulting | 1-10 Employees | 79 years old | Centreville +13 more
4487,KLJ GROUP,3.6,154,5,946,NaN,NaN,Petrochemicals | 1k-5k Employees | Public | 56 years old | New Delhi +15 more
4488,Amec Foster Wheeler,3.8,154,--,501,NaN,NaN,Oil & Gas | 1k-5k Employees | 41 years old | Aberdeen +13 more
4489,Capillary Technologies,3.8,154,4,1.8k,Company Culture,NaN,IT Services & Consulting | 501-1k Employees | 15 years old | Singapore +4 more
4490,Xrbia Developers,2.8,154,2,1k,"Job Security, Promotions / Appraisal, Salary & Benefits",NaN,Real Estate | 201-500 Employees | 11 years old | Pune +7 more
4491,Toshiba Software India,3.6,154,2,1.7k,Job Security,NaN,IT Services & Consulting | 1k-5k Employees | 21 years old | Bengaluru/Bangalore +7 more
4492,DynPro,3.5,154,17,1.2k,NaN,NaN,IT Services & Consulting | 51-200 Employees | 27 years old | Bangalore/Bengaluru +14 more
4493,IREO,4.2,154,--,680,"Work Life Balance, Company Culture, Job Security",NaN,Real Estate | 501-1k Employees | 19 years old | Gurgaon/Gurugram +8 more
4494,IFB Automotive,3.9,154,--,944,Job Security,NaN,Auto Components | 501-1k Employees | 49 years old | Bangalore  +12 more
4495,Paradise Food Court,4.0,154,21,834,"Salary & Benefits, Skill Development / Learning",NaN,Hospitality | 1k-5k Employees | 70 years old | Hyderabad/Secunderabad +8 more
4496,Sunil Hitech Engineers,4.2,154,--,508,NaN,NaN,Engineering & Construction | 501-1k Employees | Public | 25 years old | Hyderabad/Secunderabad +28 more
4497,Eternis Fine Chemicals,3.8,154,--,992,"Salary & Benefits, Skill Development / Learning",NaN,Chemicals | 201-500 Employees | Public | 35 years old | Mumbai +7 more
4498,Hotel Park Plaza,4.5,154,--,600,"Skill Development / Learning, Work Satisfaction, Promotions / Appraisal",NaN,Hospitality | 5k-10k Employees (Global) | 37 years old | London +16 more
4499,Celebi Delhi Cargo Terminal Management,4.0,154,--,445,Skill Development / Learning,NaN,Aviation | 5k-10k Employees | 65 years old | Istanbul +1 more
4500,Stashfin,4.4,154,17,608,"Salary & Benefits, Skill Development / Learning, Work Life Balance",NaN,FinTech | 11-50 Employees | Startup | 7 years old | Delhi +12 more
4501,Merkle Sokrati,3.8,154,4,1.5k,"Skill Development / Learning, Job Security, Company Culture",NaN,Marketing & Advertising | 1k-5k Employees | Pune +3 more
4502,Hindustan Urvarak & Rasayan,3.1,154,--,875,"Promotions / Appraisal, Company Culture, Skill Development / Learning",NaN,51-200 Employees | Gorakhpur +13 more
4503,Watchyourhealth.com,4.8,154,30,202,"Company Culture, Skill Development / Learning, Job Security",NaN,Emerging Technologies | 201-500 Employees | 8 years old | Thane +1 more
4504,Agappe Diagnostics,4.0,154,10,639,"Skill Development / Learning, Salary & Benefits, Job Security",NaN,Healthcare | 501-1k Employees | 25 years old | Ernakulam +23 more
4505,Patton International,3.6,154,2,798,Job Security,Promotions / Appraisal,Iron & Steel | 51-200 Employees | 33 years old | Kolkata +3 more
4506,CloudMoyo,4.3,154,1,999,"Company Culture, Work Life Balance, Work Satisfaction",NaN,Software Product | 201-500 Employees | 8 years old | Bellevue +1 more
4507,Emirates NBD,4.1,154,1,920,"Company Culture, Skill Development / Learning, Work Life Balance",NaN,Banking | 201-500 Employees | Public | 60 years old | Dubai +9 more
4508,Fashion TV,3.9,154,171,323,"Skill Development / Learning, Company Culture, Work Life Balance",NaN,Broadcasting | 51-200 Employees | Paris +6 more
4509,Bombay Stock Exchange,3.8,154,1,1.3k,Job Security,NaN,Financial Services | 1k-5k Employees | 148 years old | Mumbai +9 more
4510,SOS Children's Village,3.7,154,--,421,Job Security,Promotions / Appraisal,Non-Profit | 1k-5k Employees | 74 years old | Imst +32 more
4511,Dixcy Textiles,4.2,154,--,792,"Skill Development / Learning, Company Culture, Work Life Balance",NaN,1k-5k Employees | 39 years old | Bangalore/Bengaluru +31 more
4512,Andhra Pradesh State Skill Developmentcorporation,3.8,154,--,662,Skill Development / Learning,Promotions / Appraisal,Non-Profit | 201-500 Employees | 9 years old | Vijayawada +24 more
4513,Apmosys Technologies,3.8,154,5,1.6k,Job Security,NaN,IT Services & Consulting | 51-200 Employees | 11 years old | Mumbai +3 more
4514,Jms Mining Services,3.6,154,3,690,"Job Security, Salary & Benefits",NaN,Metals & Mining | 201-500 Employees | 21 years old | Kolkata +20 more
4515,Metacube Software,4.1,154,2,1.5k,"Job Security, Work Life Balance, Company Culture",NaN,IT Services & Consulting | 1k-5k Employees | 19 years old | Jaipur +2 more
4516,EagleBurgmann,3.8,154,8,848,"Job Security, Work Life Balance, Company Culture",NaN,Industrial Machinery | 501-1k Employees | 139 years old | Wolfratshausen +15 more
4517,Sopra Banking Software,4.0,154,7,1.6k,"Job Security, Work Life Balance, Company Culture",NaN,IT Services & Consulting | 1k-5k Employees | Public | 11 years old | Paris +4 more
4518,Siegwerk,4.1,154,26,831,"Job Security, Salary & Benefits, Work Life Balance",NaN,Chemicals | 501-1k Employees | 193 years old | Siegburg +14 more
4519,Accurate Engineering Company,3.6,154,9,955,NaN,NaN,Industrial Machinery | 51-200 Employees | 60 years old | Pune +20 more
4520,Computacenter,4.5,154,42,1k,"Company Culture, Job Security, Work Life Balance",NaN,IT Services & Consulting | 1k-5k Employees | 42 years old | Hatfield +7 more
4521,ILJIN AUTOMOTIVE,3.7,153,--,781,NaN,NaN,Automobile | 50 years old | Seoul +10 more
4522,Alf Engineering,3.9,153,1,1.1k,"Job Security, Work Life Balance, Skill Development / Learning",NaN,Auto Components | 201-500 Employees | 17 years old | Nasik/Nashik +11 more
4523,IT By Design,3.6,153,37,1.1k,NaN,NaN,IT Services & Consulting | 201-500 Employees | 20 years old | Jersey City +7 more
4524,Saudi Oger,4.6,153,--,171,"Work Satisfaction, Skill Development / Learning, Company Culture",NaN,Engineering & Construction | 1-10 Employees | 45 years old | Riyadh +11 more
4525,ITW India,4.2,153,3,924,"Job Security, Salary & Benefits, Company Culture",NaN,Industrial Machinery | 10k-50k Employees (Global) | 111 years old | Glenview +19 more
4526,Daffodil Software,3.7,153,63,1.5k,NaN,NaN,IT Services & Consulting | 501-1k Employees | Conglomerate | 24 years old | Grandville +5 more
4527,National Aerospace Laboratories,4.5,153,--,792,"Skill Development / Learning, Work Satisfaction, Company Culture",NaN,Defence & Aerospace | 1k-5k Employees | 64 years old | Bangalore/Bengaluru +2 more
4528,Rucha Engineers,3.7,153,--,1k,NaN,NaN,Industrial Machinery | 501-1k Employees | 16 years old | Ghaziabad +10 more
4529,Manba Finance,3.7,153,23,792,NaN,NaN,NBFC | 501-1k Employees | Public | 27 years old | Mumbai +20 more
4530,Bright Life Care,4.0,153,20,762,"Salary & Benefits, Work Life Balance, Company Culture",NaN,Fitness & Wellness | 1k-5k Employees | 12 years old | Gurgaon +32 more
4531,Schott Poonawalla,3.8,153,--,992,Job Security,NaN,Packaging | 1k-5k Employees | Daman & Diu +11 more
4532,Filatex India,4.0,153,1,1.1k,"Skill Development / Learning, Job Security",NaN,Fashion & Textile | 1k-5k Employees | Public | 33 years old | Noida +10 more
4533,The Smart Cube,3.7,153,47,1.6k,"Job Security, Company Culture, Work Life Balance",NaN,Management Consulting | 501-1k Employees | 20 years old | London +7 more
4534,Synokem Pharmaceuticals,3.9,153,6,993,"Job Security, Work Life Balance",NaN,Pharma | 201-500 Employees | 40 years old | New Delhi +12 more
4535,Malladi Drugs & Pharmaceuticals,4.1,153,5,1k,"Job Security, Work Life Balance, Skill Development / Learning",NaN,Pharma | 201-500 Employees | 43 years old | Chennai +11 more
4536,SevenMentor,4.7,153,2,318,"Company Culture, Job Security, Skill Development / Learning",NaN,IT Services & Consulting | 51-200 Employees | 14 years old | Pune +2 more
4537,EASi,3.5,153,--,1.2k,NaN,NaN,Industrial Machinery | 501-1k Employees | 42 years old | Hanover +8 more
4538,Magma Housing Finance,4.2,153,--,676,"Skill Development / Learning, Job Security, Work Satisfaction",NaN,Financial Services | 5k-10k Employees | Public | 34 years old | Kolkata +58 more
4539,RAKS Pharma,3.9,153,--,805,"Salary & Benefits, Work Life Balance",NaN,Pharma | 201-500 Employees | 15 years old | Visakhapatnam/Vizag +7 more
4540,ITW India,4.2,153,3,924,"Job Security, Salary & Benefits, Company Culture",NaN,Industrial Machinery | 10k-50k Employees (Global) | 111 years old | Glenview +19 more
4541,Daffodil Software,3.7,153,63,1.5k,NaN,NaN,IT Services & Consulting | 501-1k Employees | Conglomerate | 24 years old | Grandville +5 more
4542,EASi,3.5,153,--,1.2k,NaN,NaN,Industrial Machinery | 501-1k Employees | 42 years old | Hanover +8 more
4543,Avaada Energy,4.5,153,37,813,"Job Security, Work Life Balance, Company Culture",NaN,Power | 501-1k Employees | 14 years old | Mumbai +20 more
4544,Ncc Urban Infrastructure,4.0,153,--,815,NaN,NaN,Engineering & Construction | 201-500 Employees | 16 years old | Hyderabad/Secunderabad +23 more
4545,Navneet Education,3.7,153,12,923,"Job Security, Work Life Balance",Promotions / Appraisal,Printing & Publishing | 501-1k Employees | Public | 64 years old | Mumbai +25 more
4546,Ultra Engineers,4.1,153,--,1.1k,"Skill Development / Learning, Company Culture, Job Security",NaN,Industrial Machinery | 1k-5k Employees | 32 years old | Pune +5 more
4547,Hyderabad Metro Rail,4.0,153,--,592,"Job Security, Skill Development / Learning, Work Satisfaction",NaN,Railways | 5k-10k Employees | 13 years old | Hyderabad  +5 more
4548,Schott Poonawalla,3.8,153,--,992,Job Security,NaN,Packaging | 1k-5k Employees | Daman & Diu +11 more
4549,Arkray Healthcare,3.8,153,34,741,"Work Life Balance, Job Security",NaN,Healthcare | 201-500 Employees | 63 years old | Mumbai +27 more
4550,Shanthi Gears,3.4,152,--,1k,"Promotions / Appraisal, Work Life Balance",NaN,Auto Components | 501-1k Employees | Public | 54 years old | Coimbatore +12 more
4551,Diamond Beverages,3.6,152,3,618,"Promotions / Appraisal, Company Culture",NaN,Beverage | 201-500 Employees | 28 years old | Kolkata +4 more
4552,Bank Muscat,4.0,152,5,1.8k,"Job Security, Skill Development / Learning, Work Satisfaction",NaN,Banking | 51-200 Employees | Forbes Global 2000 | 41 years old | Muscat +58 more
4553,KisanKraft Machine Tools,3.4,152,15,705,Job Security,NaN,Industrial Machinery | 201-500 Employees | 18 years old | Bangalore/Bengaluru +19 more
4554,Edac Engineering,3.6,152,--,762,"Promotions / Appraisal, Salary & Benefits",NaN,Engineering & Construction | 1k-5k Employees | 36 years old | Chennai +15 more
4555,Oerlikon Graziano Transmission,4.3,152,--,321,"Company Culture, Skill Development / Learning, Salary & Benefits",NaN,Industrial Machinery | 1k-5k Employees | 117 years old | Pfaffikon +10 more
4556,Smith & Nephew Healthcare,3.9,152,10,1.3k,"Work Life Balance, Job Security, Company Culture",NaN,Medical Equipment | 1k-5k Employees | Public | 167 years old | United Kingdom +14 more
4557,Overnite Express,3.6,152,--,552,NaN,NaN,Logistics | 1-10 Employees | 36 years old | Delhi/NCR +34 more
4558,Anchor Health and Beauty Care,3.8,152,--,592,"Work Life Balance, Salary & Benefits",NaN,Beauty & Personal Care | 501-1k Employees | 31 years old | Mumbai +36 more
4559,Leayan Global,4.2,152,--,629,"Skill Development / Learning, Work Life Balance, Job Security",NaN,Fashion & Textile | 1k-5k Employees | 18 years old | Kanpur +30 more
4560,National Securities Depository,3.4,152,--,1.7k,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",Financial Services | 201-500 Employees | 27 years old | Mumbai +6 more
4561,GE Capital,4.5,152,--,606,"Company Culture, Work Life Balance, Job Security",NaN,Financial Services | 10k-50k Employees | 91 years old | Norwalk +10 more
4562,WEG,3.7,152,--,1.1k,NaN,NaN,Electronics Manufacturing | 201-500 Employees | Forbes Global 2000 | 62 years old | Tamil Nadu +6 more
4563,A2Z Infraservices,3.9,152,3,506,NaN,NaN,Facility Management Services | 201-500 Employees | Public | 21 years old | Gurgaon/Gurugram +21 more
4564,Precision Camshafts,3.2,152,--,758,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",NaN,Auto Components | 201-500 Employees | Public | 31 years old | Solapur +2 more
4565,ITC ABD,3.6,152,--,731,Job Security,Promotions / Appraisal,51-200 Employees | 113 years old | Kolkata +48 more
4566,Ahresty India,3.9,152,--,725,"Job Security, Skill Development / Learning",NaN,Auto Components | 51-200 Employees | 16 years old | Rewari +7 more
4567,Ritu Kumar,3.8,152,--,873,Skill Development / Learning,NaN,Fashion & Textile | 501-1k Employees | 54 years old | Gurgaon +28 more
4568,Oxford University Press,3.6,152,5,985,Promotions / Appraisal,NaN,Printing & Publishing | 201-500 Employees | 545 years old | Oxford +25 more
4569,Maxvalue Credits & Investments,4.5,152,--,571,"Work Life Balance, Company Culture, Work Satisfaction",NaN,NBFC | 1k-5k Employees | Public | 7 years old | Thrissur +25 more
4570,Dalmia Bharat Sugar & Industries,4.0,152,1,662,"Salary & Benefits, Job Security, Company Culture",NaN,Food Processing | 1k-5k Employees | Public | 29 years old | New Delhi +13 more
4571,Dorset Industries,3.5,152,2,789,NaN,NaN,Building Material | 201-500 Employees | 28 years old | Gurgaon +27 more
4572,Premier Energies,4.2,152,3,784,"Job Security, Company Culture, Skill Development / Learning",NaN,501-1k Employees | Hyderabad/Secunderabad +7 more
4573,Naprod Life Sciences,3.4,152,15,939,Job Security,NaN,Pharma | 201-500 Employees | 17 years old | Mumbai +6 more
4574,Accurate Global Alliances,4.7,152,6,48,"Company Culture, Skill Development / Learning, Work Life Balance",NaN,Recruitment | 51-200 Employees | 11 years old | Noida +4 more
4575,Quest Diagnostics,3.5,152,35,895,"Work Life Balance, Salary & Benefits",NaN,Clinical Research | 501-1k Employees | Forbes Global 2000 | 56 years old | Secaucus +11 more
4576,KGK Group,3.9,152,11,965,Job Security,NaN,Jewellery | 201-500 Employees | 118 years old | Hong Kong +12 more
4577,BOLD Technology Systems,3.4,152,24,1k,NaN,NaN,Internet | 501-1k Employees | 19 years old | San Juan +5 more
4578,ITCube Solutions,3.4,152,12,1k,"Promotions / Appraisal, Salary & Benefits",NaN,IT Services & Consulting | 201-500 Employees | 20 years old | Pune +5 more
4579,Gracure Pharmaceuticals,3.4,151,3,859,Job Security,NaN,Pharma | 501-1k Employees | 31 years old | Delhi/NCR +6 more
4580,Continuum Managed Services,3.9,151,73,1.1k,"Skill Development / Learning, Company Culture, Work Life Balance",NaN,IT Services & Consulting | 51-200 Employees | Conglomerate | 18 years old | Tampa +4 more
4581,Gracure Pharmaceuticals,3.4,151,3,859,Job Security,NaN,Pharma | 501-1k Employees | 31 years old | Delhi/NCR +6 more
4582,Dover India,4.0,151,16,1.5k,"Work Life Balance, Job Security, Company Culture",NaN,Industrial Machinery | 501-1k Employees | Forbes Global 2000 | 20 years old | Downers Grove +5 more
4583,Vedang Radio Technology,3.9,151,--,445,"Company Culture, Skill Development / Learning",NaN,Telecom | 501-1k Employees | 18 years old | Mumbai +22 more
4584,ICPA Health Products,3.2,151,17,574,"Promotions / Appraisal, Salary & Benefits",NaN,Healthcare | 51-200 Employees | Public | 40 years old | Mumbai +24 more
4585,Joyson Safety Systems,3.8,151,2,852,NaN,NaN,Auto Components | 1k-5k Employees | 26 years old | Auburn Hills +7 more
4586,Fraazo,3.4,151,77,657,Job Security,NaN,Internet | 51-200 Employees | Startup | 7 years old | Mumbai +12 more
4587,OASYS Cybernetics,3.5,151,4,1.2k,Promotions / Appraisal,NaN,IT Services & Consulting | 201-500 Employees | 23 years old | Chennai +18 more
4588,MR.DIY,3.4,151,1,587,NaN,NaN,Retail | 51-200 Employees | Mumbai +38 more
4589,JSW Steel Coated Products,3.7,151,--,737,Job Security,NaN,Tarapur +17 more
4590,Madhu Jayanti International,3.8,151,18,604,NaN,NaN,FMCG | 201-500 Employees | Public | 81 years old | Kolkata +29 more
4591,Amara Raja Infra,3.9,151,1,633,"Job Security, Skill Development / Learning, Salary & Benefits",NaN,Engineering & Construction | 201-500 Employees | 39 years old | Hyderabad +16 more
4592,SCM Garments,4.0,151,--,858,Job Security,NaN,Fashion & Textile | 10k-50k Employees | 34 years old | Agartala +10 more
4593,Indian Council of Agricultural Research,4.1,151,--,607,"Work Life Balance, Company Culture, Skill Development / Learning",NaN,Education & Training | 501-1k Employees | 94 years old | New Delhi +39 more
4594,Megafine Pharma,3.9,151,--,1.1k,"Skill Development / Learning, Company Culture",NaN,Pharma | 201-500 Employees | 28 years old | Mumbai +8 more
4595,Kalyani Maxion Wheels,4.1,151,--,999,"Job Security, Work Life Balance, Work Satisfaction",NaN,Auto Components | 10k-50k Employees | 103 years old | Königswinter +3 more
4596,Ayoki Fabricon,3.6,151,--,773,NaN,NaN,Engineering & Construction | 5k-10k Employees | 39 years old | Pune +19 more
4597,Domino Printech,4.0,151,11,776,"Job Security, Company Culture, Salary & Benefits",NaN,Printing & Publishing | 201-500 Employees | 27 years old | Gurgaon/Gurugram +22 more
4598,Vanderlande Industries,4.2,151,21,1.1k,"Work Life Balance, Company Culture, Job Security",NaN,Logistics | 501-1k Employees | 74 years old | Veghel +7 more
4599,Awign Enterprises,3.6,151,131,845,Promotions / Appraisal,NaN,Internet | 201-500 Employees | Startup | 7 years old | Bangalore +23 more
4600,Mirafra Technologies,3.9,151,118,1.6k,"Work Life Balance, Company Culture, Skill Development / Learning",NaN,Semiconductors | 501-1k Employees | 19 years old | Bangalore/Bengaluru +4 more
4601,Yutika Natural,4.0,151,1,392,"Skill Development / Learning, Work Satisfaction, Company Culture",NaN,Indore +23 more
4602,Novel Office,4.0,151,26,436,"Skill Development / Learning, Work Satisfaction, Company Culture",NaN,Real Estate | 201-500 Employees | 30 years old | Bengaluru/Bangalore +12 more
4603,Affluent Global Services,3.5,151,67,1.2k,Job Security,NaN,IT Services & Consulting | 201-500 Employees | 11 years old | Hyderabad/Secunderabad +11 more
4604,Upwork,4.5,150,9,1.1k,"Work Life Balance, Company Culture, Work Satisfaction",NaN,Internet | 501-1k Employees | Public | 8 years old | Santa Clara +24 more
4605,Marsh,4.1,150,1,340,"Job Security, Company Culture, Work Life Balance",NaN,Insurance | 1k-5k Employees | 54 years old | New York +6 more
4606,HCL Infotech,4.0,150,1,801,"Work Life Balance, Job Security, Company Culture",NaN,IT Services & Consulting | 1 Lakh+ Employees (Global) | 32 years old | Noida +22 more
4607,Kanoria Chemicals & Industries,3.9,150,1,802,"Job Security, Work Life Balance",NaN,Chemicals | 1k-5k Employees | Public | 63 years old | Delhi/NCR +9 more
4608,Technique Control Facility Management,3.7,150,--,885,NaN,NaN,Facility Management Services | 51-200 Employees | 13 years old | Bangalore/Bengaluru +16 more
4609,Ring Plus Aqua,3.8,150,--,667,NaN,NaN,Auto Components | 201-500 Employees | Public | 26 years old | Thane +8 more
4610,Allergan,4.0,150,3,761,"Company Culture, Skill Development / Learning, Salary & Benefits",NaN,Healthcare | 1k-5k Employees | Forbes Global 2000 | 10 years old | Dublin +23 more
4611,Ajay Industrial Corporation,3.7,150,5,751,NaN,NaN,Industrial Machinery | 51-200 Employees | 62 years old | Ghaziabad +27 more
4612,Allen Solly,4.4,150,--,458,"Company Culture, Skill Development / Learning, Job Security",NaN,Fashion & Textile | 10k-50k Employees | Public | 279 years old | Bangalore/Bengaluru +45 more
